entity,entry_id,category,source,obtainable
mount,6,Racial,Human,true
mount,7,,,true
mount,8,,,true
mount,9,Racial,Human,true
mount,11,Racial,Human,true
mount,12,,,true
mount,13,,,true
mount,14,Racial,Orc,true
mount,15,,,true
mount,16,Professions,Fishing,true
mount,17,Other,Warlock,true
mount,18,Racial,Human,true
mount,19,Racial,Orc,true
mount,20,Racial,Orc,true
mount,21,Racial,Dwarf,true
mount,22,,,true
mount,24,Racial,Dwarf,true
mount,25,Racial,Dwarf,true
mount,26,Racial,"Night Elf",true
mount,27,Racial,Troll,true
mount,28,,,true
mount,31,Racial,"Night Elf",true
mount,32,,,true
mount,34,Racial,"Night Elf",true
mount,35,,,true
mount,36,Racial,Troll,true
mount,38,Racial,Troll,true
mount,39,Racial,Gnome,true
mount,40,Racial,Gnome,true
mount,41,Other,Paladin,true
mount,42,Other,"Old School Ride",true
mount,43,,,true
mount,45,Other,"Old School Ride",true
mount,46,Other,"Old School Ride",true
mount,50,Other,"Old School Ride",true
mount,51,Other,"Old School Ride",true
mount,52,Other,"Old School Ride",true
mount,53,Other,"Old School Ride",true
mount,54,Other,"Old School Ride",true
mount,55,Classic,Reputation,true
mount,56,Other,"Old School Ride",true
mount,57,Racial,Gnome,true
mount,58,Racial,Gnome,true
mount,62,Other,"Old School Ride",true
mount,63,Other,"Old School Ride",true
mount,64,Other,"Old School Ride",true
mount,65,Racial,Undead,true
mount,66,Racial,Undead,true
mount,67,Racial,Undead,true
mount,68,Racial,Undead,true
mount,69,Classic,"Dungeon Drop",true
mount,70,,,true
mount,71,Racial,Tauren,true
mount,72,Racial,Tauren,true
mount,73,Other,"Old School Ride",true
mount,74,Other,"Old School Ride",true
mount,75,PVP,"Mark of Honor",true
mount,76,PVP,"Mark of Honor",true
mount,77,PVP,"Mark of Honor",true
mount,78,PVP,"Mark of Honor",true
mount,79,PVP,"Mark of Honor",true
mount,80,PVP,"Mark of Honor",true
mount,81,PVP,"Mark of Honor",true
mount,82,PVP,"Mark of Honor",true
mount,83,Other,Warlock,true
mount,84,Other,Paladin,true
mount,85,Racial,"Night Elf",true
mount,87,Racial,"Night Elf",true
mount,88,Racial,Gnome,true
mount,89,Racial,Gnome,true
mount,90,Racial,Gnome,true
mount,91,Racial,Human,true
mount,92,Racial,Human,true
mount,93,Racial,Human,true
mount,94,Racial,Dwarf,true
mount,95,Racial,Dwarf,true
mount,96,Racial,Dwarf,true
mount,97,Racial,Troll,true
mount,98,Racial,Troll,true
mount,99,Racial,Troll,true
mount,100,Racial,Undead,true
mount,101,Racial,Tauren,true
mount,102,Racial,Tauren,true
mount,103,Racial,Tauren,true
mount,104,Racial,Orc,true
mount,105,Racial,Orc,true
mount,106,Racial,Orc,true
mount,107,Racial,"Night Elf",true
mount,108,PVP,"Mark of Honor",true
mount,109,PVP,"Mark of Honor",true
mount,110,Other,BMAH,true
mount,111,Other,BMAH,true
mount,116,,,true
mount,117,Classic,"Raid Drop",true
mount,118,Classic,"Raid Drop",true
mount,119,Classic,"Raid Drop",true
mount,120,Classic,"Raid Drop",true
mount,121,,,true
mount,122,Other,"Feats of Strength",true
mount,123,,,true
mount,125,Professions,Fishing,true
mount,129,"The Burning Crusade",Vendor,true
mount,130,"The Burning Crusade",Vendor,true
mount,131,"The Burning Crusade",Vendor,true
mount,132,"The Burning Crusade",Vendor,true
mount,133,"The Burning Crusade",Vendor,true
mount,134,"The Burning Crusade",Vendor,true
mount,135,"The Burning Crusade",Vendor,true
mount,136,"The Burning Crusade",Vendor,true
mount,137,"The Burning Crusade",Vendor,true
mount,138,"The Burning Crusade",Vendor,true
mount,139,"The Burning Crusade",Vendor,true
mount,140,"The Burning Crusade",Vendor,true
mount,141,"The Burning Crusade",Vendor,true
mount,142,"The Burning Crusade",Vendor,true
mount,145,,,true
mount,146,Racial,"Blood Elf",true
mount,147,Racial,Draenei,true
mount,149,Other,Paladin,true
mount,150,Other,Paladin,true
mount,151,PVP,Halaa,true
mount,152,Racial,"Blood Elf",true
mount,153,"The Burning Crusade","Kurenai/The Mag'har",true
mount,154,"The Burning Crusade","Kurenai/The Mag'har",true
mount,155,"The Burning Crusade","Kurenai/The Mag'har",true
mount,156,"The Burning Crusade","Kurenai/The Mag'har",true
mount,157,Racial,"Blood Elf",true
mount,158,Racial,"Blood Elf",true
mount,159,Racial,"Blood Elf",true
mount,160,Racial,"Blood Elf",true
mount,161,Racial,"Blood Elf",true
mount,162,PVP,"Mark of Honor",true
mount,163,Racial,Draenei,true
mount,164,Racial,Draenei,true
mount,165,Racial,Draenei,true
mount,166,Racial,Draenei,true
mount,167,Racial,Draenei,true
mount,168,"The Burning Crusade","Raid Drop",true
mount,169,PVP,Gladiator,true
mount,170,"The Burning Crusade","Kurenai/The Mag'har",true
mount,171,PVP,Halaa,true
mount,172,"The Burning Crusade","Kurenai/The Mag'har",true
mount,173,"The Burning Crusade","Kurenai/The Mag'har",true
mount,174,"The Burning Crusade","Kurenai/The Mag'har",true
mount,176,"The Burning Crusade","Sha'tari Skyguard",true
mount,177,"The Burning Crusade","Sha'tari Skyguard",true
mount,178,"The Burning Crusade","Sha'tari Skyguard",true
mount,179,"The Burning Crusade","Sha'tari Skyguard",true
mount,180,"The Burning Crusade","Sha'tari Skyguard",true
mount,183,"The Burning Crusade","Raid Drop",true
mount,185,"The Burning Crusade","Dungeon Drop",true
mount,186,"The Burning Crusade",Netherwing,true
mount,187,"The Burning Crusade",Netherwing,true
mount,188,"The Burning Crusade",Netherwing,true
mount,189,"The Burning Crusade",Netherwing,true
mount,190,"The Burning Crusade",Netherwing,true
mount,191,"The Burning Crusade",Netherwing,true
mount,196,Promotion,"Trading Card Game / Auction House",true
mount,197,Promotion,"Trading Card Game / Auction House",true
mount,199,"The Burning Crusade","Raid Drop",true
mount,201,"World Events",Brewfest,true
mount,202,"World Events",Brewfest,true
mount,203,"The Burning Crusade","Cenarion Expedition",true
mount,204,Professions,Engineering,true
mount,205,Professions,Engineering,true
mount,206,,,true
mount,207,PVP,Gladiator,true
mount,211,Promotion,"Trading Card Game / Auction House",true
mount,212,Promotion,"Trading Card Game / Auction House",true
mount,213,"The Burning Crusade","Dungeon Drop",true
mount,219,"World Events","Hallow's End",true
mount,220,PVP,"Mark of Honor",true
mount,221,Other,"Death Knight",true
mount,222,,,true
mount,223,PVP,Gladiator,true
mount,224,"Past Limited Time","Trading Post Re-Releases",true
mount,225,,,true
mount,226,"World Events",Brewfest,true
mount,230,Promotion,"Trading Card Game / Auction House",true
mount,236,Other,"Death Knight",true
mount,237,"Wrath of the Lich King",Quest,true
mount,238,,,true
mount,240,Professions,Engineering,true
mount,241,PVP,Gladiator,true
mount,243,Promotion,Blizzcon,true
mount,246,"Wrath of the Lich King","Raid Drop",true
mount,247,"Wrath of the Lich King","Raid Drop",true
mount,248,"Wrath of the Lich King","Dungeon Drop",true
mount,249,"Wrath of the Lich King",Reputation,true
mount,250,"Wrath of the Lich King","Raid Drop",true
mount,251,,,true
mount,253,"Wrath of the Lich King","Raid Drop",true
mount,254,PVP,"Mark of Honor",true
mount,255,PVP,"Mark of Honor",true
mount,256,"Wrath of the Lich King",Vendor,true
mount,257,"Wrath of the Lich King",Vendor,true
mount,258,"Wrath of the Lich King",Reputation,true
mount,259,"Wrath of the Lich King",Reputation,true
mount,262,"Wrath of the Lich King",Achievement,true
mount,263,"Wrath of the Lich King",Achievement,true
mount,264,"Wrath of the Lich King","Dungeon Drop",true
mount,265,"Wrath of the Lich King","Rare Spawn",true
mount,266,Other,BMAH,true
mount,267,"World Events",Achievement,true
mount,268,Mounts,Collect,true
mount,269,"Wrath of the Lich King",Vendor,true
mount,270,"Wrath of the Lich King",Vendor,true
mount,271,PVP,Achievement,true
mount,272,PVP,Achievement,true
mount,273,,,true
mount,274,,,true
mount,275,Professions,Engineering,true
mount,276,"Wrath of the Lich King",Vendor,true
mount,277,"Wrath of the Lich King",Vendor,true
mount,278,"Wrath of the Lich King",Reputation,true
mount,279,Professions,Tailoring,true
mount,280,"Wrath of the Lich King",Vendor,true
mount,284,"Wrath of the Lich King",Vendor,true
mount,285,Professions,Tailoring,true
mount,286,"Wrath of the Lich King","Raid Drop",true
mount,287,"Wrath of the Lich King","Raid Drop",true
mount,288,"Wrath of the Lich King",Reputation,true
mount,289,"Wrath of the Lich King",Reputation,true
mount,291,Mounts,Collect,true
